Designator,Mid X,Mid Y,Rotation,Layer
CH1,65.265,-47.482,0.0,top
CH10,119.265,-55.982,0.0,top
CH11,137.265,-60.232,0.0,top
CH12,155.265,-60.232,0.0,top
CH13,65.265,-81.482,0.0,top
CH14,83.265,-81.482,0.0,top
CH15,101.265,-77.232,0.0,top
CH16,119.265,-72.982,0.0,top
CH17,137.265,-77.232,0.0,top
CH18,155.265,-77.232,0.0,top
CH19,65.265,-98.482,0.0,top
CH2,83.265,-47.482,0.0,top
CH20,83.265,-98.482,0.0,top
CH21,101.265,-94.232,0.0,top
CH22,119.265,-89.982,0.0,top
CH23,137.265,-94.232,0.0,top
CH24,155.265,-94.232,0.0,top
CH25,115.010591,-113.870885,5.0,top
CH28,135.06561,-113.017458,0.0,top
CH29,155.598557,-114.841935,350.0,top
CH3,101.265,-43.232,0.0,top
CH30,175.759692,-121.046401,335.0,top
CH4,119.265,-38.982,0.0,top
CH5,137.265,-43.232,0.0,top
CH6,155.265,-43.232,0.0,top
CH7,65.265,-64.482,0.0,top
CH8,83.265,-64.482,0.0,top
CH9,101.265,-60.232,0.0,top
D1,74.265,-51.732,90.0,top
D10,128.265,-62.797,90.0,top
D11,146.265,-62.797,90.0,top
D12,164.265,-62.967,90.0,top
D13,74.265,-84.047,90.0,top
D14,92.265,-83.797,90.0,top
D15,110.265,-79.797,90.0,top
D16,128.515,-79.797,90.0,top
D17,146.265,-79.987,90.0,top
D18,164.265,-79.967,90.0,top
D19,74.265,-102.732,90.0,top
D2,92.015,-49.797,90.0,top
D20,92.265,-102.292,90.0,top
D21,110.265,-98.042,90.0,top
D22,128.265,-96.797,90.0,top
D23,146.265,-96.967,90.0,top
D24,164.265,-96.967,90.0,top
D25,124.015,-115.797,95.0,top
D28,144.015,-115.797,90.0,top
D29,163.205,-119.796997,80.0,top
D3,110.265,-45.797,90.0,top
D30,182.955,-127.372,65.0,top
D4,128.265,-45.797,90.0,top
D5,146.265,-46.797,90.0,top
D6,164.265,-45.967,90.0,top
D7,74.265,-68.292,90.0,top
D8,92.265,-66.607,90.0,top
D9,110.265,-62.797,90.0,top
J1,181.015,-100.797,270.0,top
RZ1,179.955,-65.002,0.0,top
